start_time,end_time,peak_p99_ms,n_intervals
2026-07-30 20:00:00,2026-07-30 21:20:00,1410.4,17
2026-08-03 07:25:00,2026-08-03 09:30:00,1768.42,26
2026-08-07 14:05:00,2026-08-07 15:50:00,2197.51,22
2026-08-09 23:25:00,2026-08-10 01:20:00,1600.98,24
2026-08-14 15:30:00,2026-08-14 16:25:00,988.46,12
2026-08-18 00:35:00,2026-08-18 03:10:00,1867.26,32
2026-08-25 09:15:00,2026-08-25 10:35:00,1903.19,17
2026-09-02 14:30:00,2026-09-02 17:10:00,2037.28,33
2026-09-05 15:30:00,2026-09-05 15:50:00,1269.68,5
2026-09-06 16:25:00,2026-09-06 18:55:00,2019.87,31
2026-09-15 17:45:00,2026-09-15 19:45:00,2086.74,25
2026-09-20 23:35:00,2026-09-20 23:55:00,917.43,5
2026-09-21 14:05:00,2026-09-21 14:35:00,903.92,7
